Co_300_20_NT_13;4.897;7586.0;6983.0;89.0;100.0
Co_300_20_NT_14;4.897;7684.0;6547.0;148.0;109.0
Co_300_20_NT_15;4.898;8550.0;7777.0;12.0;92.0
Co_300_20_NT_16;4.899;7129.0;6699.0;88.0;83.0
Co_300_20_NT_17;4.896;7197.0;6462.0;127.0;120.0
Co_300_20_NT_18;4.895;8077.0;7288.0;142.0;96.0
Co_300_20_NT_19;4.897;7559.0;6832.0;100.0;96.0
Co_300_20_NT_2;4.896;7656.0;6867.0;82.0;100.0
Co_300_20_NT_3;4.898;7167.0;6406.0;154.0;129.0
Co_300_20_NT_4;4.896;8040.0;7483.0;31.0;107.0
Co_300_20_NT_5;4.723;6323.0;5223.0;159.0;189.0
Co_300_20_NT_6;4.898;6998.0;6800.0;54.0;28.0
Co_300_20_NT_7;4.9;6381.0;6106.0;64.0;44.0
Co_300_20_NT_8;4.899;7022.0;6629.0;42.0;83.0
Co_300_20_NT_9;4.896;7183.0;6849.0;106.0;40.0
Co_300_20_T_0;4.898;7391.0;6465.0;104.0;102.0
Co_300_20_T_1;4.896;7051.0;6310.0;125.0;91.0
Co_300_20_T_10;4.896;8109.0;7545.0;73.0;81.0
Co_300_20_T_11;4.894;7664.0;6814.0;144.0;139.0
Co_300_20_T_12;4.893;8231.0;7248.0;81.0;152.0
Co_300_20_T_13;4.897;7607.0;6505.0;158.0;214.0
Co_300_20_T_14;4.9;7649.0;6587.0;99.0;128.0
Co_300_20_T_15;4.897;8594.0;7617.0;92.0;92.0
Co_300_20_T_16;4.897;7140.0;6543.0;181.0;73.0
Co_300_20_T_17;4.897;7230.0;6318.0;135.0;162.0
Co_300_20_T_18;4.894;8048.0;7287.0;96.0;127.0
Co_300_20_T_19;4.13;7510.0;6886.0;34.0;122.0
Co_300_20_T_2;4.914;7677.0;6779.0;123.0;102.0
Co_300_20_T_3;4.895;7179.0;6040.0;234.0;198.0
Co_300_20_T_4;4.897;8057.0;7345.0;37.0;149.0
Co_300_20_T_5;4.897;6357.0;5067.0;199.0;214.0
Co_300_20_T_6;4.895;6992.0;6736.0;53.0;50.0
Co_300_20_T_7;4.897;6387.0;5899.0;112.0;81.0
Co_300_20_T_8;5.002;7027.0;6497.0;73.0;106.0
Co_300_20_T_9;4.898;7183.0;6776.0;144.0;39.0
