100;20;3
1;2;0;0;1
4;6;0;0;13
10;7;0;0;28
17;14;0;0;19
21;22;0;0;4
25;22;0;0;2
35;32;0;0;31
40;38;0;0;5
41;38;0;0;40
52;50;0;0;6
91;89;0;0;15
95;92;0;0;25
13;15;0;1;2
49;46;0;1;26
54;51;0;1;18
56;53;0;1;1
75;73;0;1;40
13;15;0;2;12
19;16;0;2;28
25;23;0;2;3
43;45;0;2;18
71;73;0;2;3
75;73;0;2;32
21;18;0;3;8
21;22;0;3;9
25;23;0;3;12
27;29;0;3;3
35;32;0;3;3
47;46;0;3;6
79;76;0;3;18
88;86;0;3;26
96;98;0;3;3
12;15;0;4;2
13;15;0;4;2
30;29;0;4;29
52;51;0;4;14
61;58;0;4;17
4;5;0;5;17
61;58;0;5;30
79;76;0;5;39
24;22;0;6;1
30;29;0;6;12
52;50;0;6;20
78;76;0;6;4
19;16;0;7;40
37;38;0;7;7
61;58;0;7;11
70;67;0;7;9
87;84;0;7;2
99;98;0;7;30
4;7;0;8;36
11;9;0;8;30
41;38;0;8;2
43;46;0;8;12
61;58;0;8;11
64;62;0;8;10
1;3;0;9;6
12;15;0;9;8
17;15;0;9;15
31;29;0;9;17
56;53;0;9;30
88;86;0;9;17
21;18;0;10;8
31;29;0;10;13
52;51;0;10;11
65;62;0;10;9
90;89;0;10;7
1;3;0;11;21
21;18;0;11;31
31;28;0;11;16
35;32;0;11;13
41;38;0;11;4
44;45;0;11;35
56;55;0;11;14
78;76;0;11;22
1;3;0;12;18
10;7;0;12;6
69;67;0;12;2
87;84;0;12;1
10;8;0;13;16
11;9;0;13;14
19;16;0;13;7
48;46;0;13;6
52;50;0;13;34
70;67;0;13;16
71;72;0;13;18
93;92;0;13;26
4;5;0;14;4
17;14;0;14;23
21;22;0;14;39
56;53;0;14;18
99;97;0;14;1
99;98;0;14;13
4;3;0;15;33
17;14;0;15;32
41;38;0;15;29
44;46;0;15;3
52;51;0;15;8
70;67;0;15;2
77;74;0;15;4
90;89;0;15;14
96;98;0;15;9
99;97;0;15;39
24;23;0;16;5
26;23;0;16;9
30;29;0;16;5
34;32;0;16;13
40;38;0;16;3
52;50;0;16;3
64;62;0;16;20
85;82;0;16;2
87;86;0;16;3
96;94;0;16;7
1;2;0;17;22
25;22;0;17;25
49;46;0;17;19
60;57;0;17;1
75;73;0;17;10
83;80;0;17;28
87;84;0;17;32
91;89;0;17;22
1;2;0;18;37
24;22;0;18;10
34;32;0;18;12
43;45;0;18;6
52;50;0;18;11
64;62;0;18;18
96;98;0;18;24
12;9;0;19;2
19;16;0;19;7
70;67;0;19;26
93;92;0;19;36
99;97;0;19;12
13;15;1;0;24
4;5;1;9;13
47;46;1;16;12
96;98;1;16;3
42;45;2;1;2
48;45;2;6;7
48;45;2;11;4
11;8;2;17;15
